"Key","SourceString",""
"DFr_D2491D1E.Text","Ever since David and the boys all passed on because of... not the plague, but... things that looked like the plague, I'm the one left wrestling with the orchard.",""
"DFr_35CEFEF7.Text","May God have patience with you, because mine is running short. Thank God for your sister. The only smart one out of you all. It's as if sweet Nellie got all the gifts of the womb and left you with the dregs. 

Well is she? Saw her with that Biggins boy yesterday.",""
"DFr_F5878F24.Text","What is Saturn? And also what is the moon? And finally what are these shadows you're speaking of.",""
"DFr_A6D09BB1.Text","Blood tends to make me have to lie down very fast and without warning.",""
"DFr_564D0F21.Text","Have you found David's satchel yet? I left it by the XXX.",""
"DFr_124F2B9C.Text","Tap Apples... they are?",""
"DFr_17185CAC.Text","David's old satchel is in the orchard somewhere. 

And don't even think about eating a poor old woman's Tap Apples. The Daevil has his eyes on the idiots of this world Godfrey. 

(end)",""
"DFr_F5438206.Text","Well why don't I just come along and help you carry it all? Oh that's right. my knees feel like they're full of gravelwyrms.",""
"DFr_4F21C4F4.Text","(Proceed) I can probably carry three. One in each hand, and one under my chin. But I won't be able to open the gate to come back.",""
"DFr_8AC2F22C.Text","Would you like to find out?",""
"DFr_58D35827.Text","As I said, none of my family have died of the plague. Wine barrel drowning, fist jousting, horse cart suicide yes, but not plague. So they are definitely a remedy of sorts.",""
"DFr_C3D43B6B.Text","A fruit that has been perfected for a century, from Robertson to Robertson to Robertson. Right back since the Codgen Clans first found this place.",""
"DFr_3CA87ADE.Text","How do you know they have plague-holding-off-qualities?",""
"DFr_7B76F682.Text","You know how to wrestle?",""
"DFr_37BB6304.Text","I shall fetch a knife and bucket.",""
"DFr_E9F2A458.Text","Well look at you. Man of the house. 

I might be able to make it worth your while.",""
"DFr_ED8F17AB.Text","I've got nothing on.",""
"DFr_8648762F.Text","Helpfulness is next to Godliness. Which is next to cleanliness. Maybe kindness is in there too. Lots of nesses.",""
"DFr_EDE79E0D.Text","Do I have a choice?",""
"DFr_58499241.Text","What's in it for me?",""
"DFr_59666CE2.Text","Now, are you gonna help me or not?",""
"DFr_BB94D5D5.Text","My looks are entirely down to a life of hard work and dedication. Something you know nothing of.",""
"DFr_148AC8EF.Text","(Sigh) Sharp yes... Sadly the same can't be said for you. Bested by agrarian equipment again eh Godfrey?",""
"DFr_FBFE7256.Text","I don't know which I'd rather be honestly.",""
"DFr_D03BAAC1.Text","What can I do for you Mrs Robertson?",""
"DFr_AA3B2694.Text","Are you sure you haven't been touched by evil? You're looking quite plaguey.",""
"DFr_3C2D3737.Text","I am not wheat! I am Godfrey Truett!",""
"DFr_657C0170.Text","Well scythes are sharp. That's what they're supposed to do.",""
"DFr_071EC68D.Text","Don't look at me like that! I've not been touched by the evil. The plague could never fell us Robertsons. Not like you Truetts. First whiff of it in town and most of your family dropped like wheat under a scythe.",""
"DFr_2E674C60.Text","It's my knees, Godfrey... The curse of us Capricorns. Now that Saturn is in the Moon's shadow, they've swollen like fatted piglets. Dr. Pardew isn't around to bleed my legs until later on. Can you help me?",""
"DFr_90E4A385.Text","Godrey! Ya useless welt. Help an old woman will ya. I'm not at my best.",""
"Ntt_5074F409.DisplayName","Godfrey Truett",""
"Ntt_5074F409.Text","Godfrey Truett is a sweethearted and good-natured boy of 16 years. As last survivor of the Truetts he has been left with the ultimate quest. To stay alive and continue on the family name. For the honour of his ill-fated sister, and in search of acceptance from his late father.",""
"Ntt_5074F409.DefaultBasicCharacterFeature.Species","Human",""
"Ntt_5074F409.DefaultBasicCharacterFeature.BornIn","Eyam",""
"Ntt_5074F409.DefaultBasicCharacterFeature.Occupation","Serf",""
"Ntt_9256BE7E.DisplayName","Mrs Robertson",""
"Ntt_9256BE7E.Text","The last surviving member of the Robertsons: a rival family who lived next door. Initially brisk and cruel to Godfrey she becomes a de facto maternal figure to him over time. 

She was so proud of her family, especially her two sons who were the antithesis of Godfrey: strong, brave, ambitious.",""
"Ntt_A6BA7406.DisplayName","Brutel Smith",""
"Ntt_A6BA7406.Text","A bully and antagoniser. The son of the town sheriff and self-appointed deputy, he was left with nothing after a spat with the previous Revd Sharpe who had Brutel's father Sheriff Sharvon Smith expelled from the town. 

With the replacement of Revd Powen with the new Anglican Revd Crenk, Brutel saw an opportunity to claw his way back from nothing by self-appointing himself (again) as the town Sexton (grave digger), a role which he takes liberties with by taking the belongings of those he buries as 'payment' and often burying people prematurely.",""
"Ntt_9F881056.DisplayName","Revd Powen",""
"Ntt_9F881056.Text","Revd Powen is a Mordachian minister. He had been in charge of the town for many years, and had been respected. But with the appointment of King Higher Ardwell III, and the establishment of a monarchy, a national church was recognised: Brittanican.

Non-conformist ministers were told to step down, banned from practising, and banished from town. Powen is living in hiding in a house on the outskirts of town, helping other non-conformists with blessings, ailing the sick and waiting out the fall of the Brittanican church so he can return.",""
"Ntt_3E7B36C0.DisplayName","Revd Crenk",""
"Ntt_3E7B36C0.Text","A total Bastard",""
"Ntt_965FEDEE.DisplayName","Nellie Truett",""
